counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
CCCC[C@H](CC)c1ccc(-c2ccc(Nc3ccc(C(F)(F)F)nc3)cn2)cc1,O=C([O-])C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1.[Na+],mmp0000_RC_to_RCC,homologation,subtle,0.449,0 1 2 3 4 5 7,413.49,7.59,0.413,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CC)CCN(C)CCSC(c1ccccc1)c1ccccc1Cl,Cc1ccccc1CN1CCN(CCSC(c2ccccc2)c2ccccc2Cl)CC1,mmp0052_RNCC_to_RNCCCC,homologation,moderate,0.402,0 1 2 3 4 5 6 7 8,391.02,5.44,0.504,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCSC(c1ccccc1)c1ccccc1Cl,Cc1ccccc1CN1CCN(CCSC(c2ccccc2)c2ccccc2Cl)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.5,2,276.83,5.57,0.688,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCNCc1c(CSC)cnc(C)c1OC,CCNCc1c(CSC)cnc(C)c1O,mmp0009_RO_to_ROC,homologation,subtle,0.554,2,240.37,2.37,0.828,16,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,mmp0010_RC_to_RCCCC,homologation,moderate,0.768,2 3 4,364.58,5.56,0.481,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN(c1ccccc1)C1Cc2ccccc2C1,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,mmp0010_RC_to_RCCCC,homologation,moderate,0.725,4,265.4,4.46,0.771,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CNCCCN(c1ccccc1)C1Cc2ccccc2C1,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,mmp0035_RCCCNCC_to_RCCCNC,homologation,subtle,0.643,,280.41,3.27,0.817,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CO[C@@H](c1ccncc1)[C@@H](N)C(=O)N1CCCC1,N[C@@H](C(=O)N1CCCC1)[C@@H](O)c1ccncc1,mmp0009_RO_to_ROC,homologation,subtle,0.571,2,249.31,0.72,0.853,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCOC,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCO,mmp0009_RO_to_ROC,homologation,subtle,0.778,2,368.56,4.43,0.352,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/CC(C)(O)CCCC,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCO,mmp0000_RC_to_RCC,homologation,subtle,0.831,,324.51,4.41,0.437,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C(C)C,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCO,mmp0037_RC_to_RCCC,homologation,moderate,0.5,3,282.42,3.1,0.705,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCC(C)(O)C/C=C/[C@H]1[C@H](OC)CC(=O)[C@@H]1CCCCCCCO,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCO,mmp0009_RO_to_ROC,homologation,subtle,0.68,2,368.56,4.43,0.352,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccccc1C(=O)OCc1ccccc1,N=C(N)NC[C@H]1CC[C@H](C(=O)Oc2ccccc2C(=O)OCc2ccccc2)CC1,mmp0009_RO_to_ROC,homologation,subtle,0.443,,242.27,3.05,0.773,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC[C@@H](CC[CH]C(=O)Oc1ccccc1C(=O)OCc1ccccc1)CNC(=N)N,N=C(N)NC[C@H]1CC[C@H](C(=O)Oc2ccccc2C(=O)OCc2ccccc2)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.461,0 1 2 3 4 5 6 7 8 9 10 11,424.52,3.83,0.206,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)Oc1ccccc1C(=O)OCc1ccccc1,N=C(N)NC[C@H]1CC[C@H](C(=O)Oc2ccccc2C(=O)OCc2ccccc2)CC1,mmp0129_RCeqOCC_to_RCCeqO,homologation,subtle,0.5,2,270.28,2.97,0.633,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)c1ccccc1OC(=O)[C@H]1CC[C@H](CNC(=N)N)CC1,N=C(N)NC[C@H]1CC[C@H](C(=O)Oc2ccccc2C(=O)OCc2ccccc2)CC1,mmp0009_RO_to_ROC,homologation,subtle,0.701,,333.39,1.67,0.327,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(F)cc1/C(=N/CCCC(N)=O)c1ccc(Cl)cc1,NC(=O)CCC/N=C(\c1ccc(Cl)cc1)c1cc(F)ccc1O,mmp0009_RO_to_ROC,homologation,subtle,0.639,2,348.81,3.59,0.614,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCC/N=C(\c1ccc(Cl)cc1)c1cc(F)ccc1O,NC(=O)CCC/N=C(\c1ccc(Cl)cc1)c1cc(F)ccc1O,mmp0010_RC_to_RCCCC,homologation,moderate,0.676,3 4,333.83,5.6,0.519,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)C1=C(C)NC(C)=C(C(=O)OCOC(=O)CC(C)C)C1c1cccc(Cl)c1Cl,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,mmp0037_RC_to_RCCC,homologation,moderate,0.76,3,470.35,4.49,0.464,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC(=O)OCOC(=O)C1=C(CC)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,mmp0000_RC_to_RCC,homologation,subtle,0.766,2,470.35,4.64,0.438,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,mmp0113_RC_to_RCCCC,homologation,moderate,0.607,3 4,291.39,5.6,0.611,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,mmp0009_RO_to_ROC,homologation,subtle,0.714,2,307.35,4.11,0.665,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C#CCOc1ccc2c(c1)c(-c1ccc(CC)cc1)nc(=O)n2Cc1ccc(OC)c(OCC)c1,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc(OC)c(OCC)c1,mmp0000_RC_to_RCC,homologation,subtle,0.83,,468.55,5.09,0.32,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,mmp0037_RC_to_RCCC,homologation,moderate,0.723,2 3,417.46,5.27,0.454,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,mmp0000_RC_to_RCC,homologation,subtle,0.723,2,403.43,5.03,0.48,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1nc2cc(C(F)(F)F)ccc2s1,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,mmp0000_RC_to_RCC,homologation,subtle,0.4,2,231.24,3.88,0.725,15,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCOC(=O)c1cc(-c2ccccc2)nc2ccc(C)cc12,CCOC(=O)c1cc(-c2ccccc2)nc2ccc(C)cc12,mmp0000_RC_to_RCC,homologation,subtle,0.81,2,305.38,4.78,0.651,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)c1cc(-c2ccccc2)nc2ccc(C)cc12,CCOC(=O)c1cc(-c2ccccc2)nc2ccc(C)cc12,mmp0009_RO_to_ROC,homologation,subtle,0.754,,277.32,4.0,0.665,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCOCCNCCOc1ccc2c(Oc3ccc4c(C(=O)NC)c(C)oc4c3)ccnc2c1,CNC(=O)c1c(C)oc2cc(Oc3ccnc4cc(OCCN5CCOCC5)ccc34)ccc12,mmp0010_RC_to_RCCCC,homologation,moderate,0.634,0 1 2 3 4 5 6 7 8,505.62,5.62,0.215,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1,CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1,mmp0010_RC_to_RCCCC,homologation,moderate,0.643,2 3 4,259.31,2.06,0.615,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cccc([C@@]23CCCC[C@H]2CN(CC2CC2)CC3)c1,Oc1cccc([C@@]23CCCC[C@H]2CN(CC2CC2)CC3)c1,mmp0009_RO_to_ROC,homologation,subtle,0.685,2,299.46,4.24,0.824,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC[C@@]1(c2cccc(O)c2)CCN(CC2CC2)C[C@@H]1CC,Oc1cccc([C@@]23CCCC[C@H]2CN(CC2CC2)CC3)c1,mmp0000_RC_to_RCC,homologation,subtle,0.412,0 1 2 9 14,301.47,4.57,0.832,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC[C@@]1(c2cccc(O)c2)CCN(CC2CC2)C[C@@H]1C,Oc1cccc([C@@]23CCCC[C@H]2CN(CC2CC2)CC3)c1,mmp0000_RC_to_RCC,homologation,subtle,0.412,0 1 2 3 10,301.47,4.57,0.832,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(F)c(F)c1C(=O)c1cnc(NC(CCNS(C)(=O)=O)CCC(C)C)nc1N,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,mmp0113_RC_to_RCCCC,homologation,moderate,0.5,0 1 2 3 4 5 7 9 12 15 18 19 20,485.56,2.73,0.391,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCNc1ncc(C(=O)c2c(OC)ccc(F)c2F)c(N)n1,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,mmp0010_RC_to_RCCCC,homologation,moderate,0.533,1 2 3 4,336.34,2.79,0.597,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCNCc1ccc(OCc2ccccc2F)cc1,C[C@H](NCc1ccc(OCc2ccccc2F)cc1)C(N)=O,mmp0124_RCCC_to_RCC,homologation,subtle,0.585,,259.32,3.51,0.857,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN(CC)CC(OC(=O)c1ccccc1)c1ccccc1,CCN(CC)CC(OC(=O)c1ccccc1)c1ccccc1,mmp0000_RC_to_RCC,homologation,subtle,0.808,2,311.43,4.32,0.68,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(OC(=O)c1ccccc1)c1ccccc1,CCN(CC)CC(OC(=O)c1ccccc1)c1ccccc1,mmp0000_RC_to_RCC,homologation,subtle,0.627,2,240.3,3.99,0.755,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccccc1[C@](C)(OCC[C@H]1CCCN1C)c1ccccc1,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,mmp0059_Rc1ccccc1_to_Rc1ccccc1C,homologation,subtle,0.583,7,323.48,4.76,0.76,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,mmp0010_RC_to_RCCCC,homologation,moderate,0.507,2 3 4,302.85,5.81,0.586,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,mmp0009_RO_to_ROC,homologation,subtle,0.413,,246.74,4.25,0.787,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)CN[C@H](C)c1cccc2ccccc12,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl,mmp0113_RC_to_RCCCC,homologation,moderate,0.452,4,227.35,4.15,0.827,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1C,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,mmp0059_Rc1ccccc1_to_Rc1ccccc1C,homologation,subtle,0.701,7,396.49,5.8,0.448,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCc1c(O)c(-c2ccccc2)nc2ccccc12,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,mmp0010_RC_to_RCCCC,homologation,moderate,0.4,2 3 4,277.37,4.95,0.732,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=C(C)C[C@]12CCN(CC3CCC3)[C@H](Cc3ccc(O)cc31)[C@@H]2CCCC,C=C1C[C@H](C)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CCC2)C1,mmp0010_RC_to_RCCCC,homologation,moderate,0.42,1 2 3 4 11 16 20 21,367.58,5.83,0.613,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=C(C)C[C@]12CCN(CC3CCC3)[C@H](Cc3ccc(O)cc31)[C@@H]2C(C)C,C=C1C[C@H](C)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CCC2)C1,mmp0037_RC_to_RCCC,homologation,moderate,0.427,1 2 3 10 15 19 20,353.55,5.3,0.726,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=C1C[C@H](C)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CCC)C1,C=C1C[C@H](C)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CCC2)C1,mmp0000_RC_to_RCC,homologation,subtle,0.724,1 2,311.47,4.27,0.824,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1CC,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,mmp0000_RC_to_RCC,homologation,subtle,0.571,2,346.34,2.67,0.633,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
